정류소아이디,모바일아이디,정류소명,영문명,시도,구군,동,경도,위도,경유노선수,경유노선
7041046200,863,이곡역(3번출구),Igok Station,대구광역시,달서구,장기동,128.5158787,35.84861835,1,성서1-1
7041046400,1133,용산역(6번출구),Yongsan Station,대구광역시,달서구,용산1동,128.5291633,35.85017522,1,성서3
7041046600,1132,롯데캐슬그랜드,Lotte Castle Grand,대구광역시,달서구,용산1동,128.52718,35.85200167,2,달서3+성서3
7041046700,1131,대구지방법원서부지원,Seobu Branch Court,대구광역시,달서구,용산1동,128.5271783,35.85224333,2,달서3+성서3
7041046800,1128,달구벌종합복지관앞,Dalgubul Welfare Center,대구광역시,달서구,용산1동,128.5247267,35.85336833,2,달서3+성서3
7041046900,1127,달구벌종합복지관건너,Dalgubul Welfare Center,대구광역시,달서구,용산1동,128.5246717,35.85319667,2,달서3+성서3
7041047000,9284,장산초등학교앞,Jangsan Elementary School,대구광역시,달서구,용산1동,128.5262583,35.85410102,2,달서3+성서3
7041047100,1129,장산초등학교건너,Jangsan Elementary School,대구광역시,달서구,용산1동,128.526435,35.85395833,2,달서3+성서3
7041047200,1125,1차서한화성타운앞,Seohan Hwasung Town 1-cha,대구광역시,달서구,용산1동,128.528915,35.854125,2,달서3+성서3
7041047300,9274,현대백조아파트(북편),Hyundai Baekjo Apts,대구광역시,달서구,본리동,128.5318242,35.84181657,1,805
7041047400,734,영남네오빌비스타,Yeongnam Neovill Vista,대구광역시,달서구,장기동,128.5326233,35.841945,1,805
7041047500,737,달서구새마을회건너,Dalseo District Saemaeul Office,대구광역시,달서구,본리동,128.535005,35.84180333,1,805
7041047600,733,달서구새마을회앞,Dalseo District Saemaeul Office,대구광역시,달서구,장기동,128.5350867,35.841955,1,805
7041047700,740,새본리중학교앞,Saebonri Middle School,대구광역시,달서구,본리동,128.5402683,35.84010833,1,805
7041047800,732,본리도서관앞,Bolli Public Library,대구광역시,달서구,본리동,128.5408417,35.84001667,1,805
7041047900,741,달서종합시장건너,Dalseo Market,대구광역시,달서구,본리동,128.542785,35.839395,1,805
7041048000,731,달서종합시장앞,Dalseo Market,대구광역시,달서구,본리동,128.5432833,35.83955833,1,805
7041048100,730,본리롯데캐슬,Bolli Lotte Castle,대구광역시,달서구,본리동,128.54639,35.839385,1,805
7041048300,4587,삼호아파트앞,Samho Apts,대구광역시,달서구,성당2동,128.5519517,35.83854333,1,805
7041048500,744,남부초등학교건너,Nambu Elementary School,대구광역시,달서구,성당1동,128.5523983,35.84465167,1,653
7041048600,745,남부초등학교앞,Nambu Elementary School,대구광역시,달서구,성당2동,128.5521917,35.84495167,1,653
7041048700,746,상서고등학교건너,Sangsuh High School,대구광역시,달서구,두류3동,128.5519683,35.847185,1,653
7041048800,747,상서고등학교앞,Sangsuh High School,대구광역시,달서구,두류3동,128.5517217,35.847075,1,653
7041048900,749,두류공원(야외음악당건너),Duryu Park,대구광역시,달서구,두류3동,128.5543083,35.85151,1,653
7041049000,748,두류공원(야외음악당앞),Duryu Park,대구광역시,달서구,두류3동,128.5549,35.85177,1,653
7041049100,901,두류3동파출소건너,Duryu 3-dong Police Station,대구광역시,달서구,두류3동,128.55741,35.85382167,1,653
7041049200,750,두류3동파출소앞,Duryu 3-dong Police Police Station,대구광역시,달서구,두류3동,128.5577167,35.85392,1,653
7041049400,903,이월드(구.우방랜드)건너,E-World,대구광역시,달서구,두류2동,128.562291,35.85578123,1,653
7041049500,902,이월드(구.우방랜드)앞,E-World,대구광역시,달서구,두류2동,128.5604633,35.855295,1,653
7041049600,601,두류파출소건너,Duryu Police Station,대구광역시,달서구,두류2동,128.5652033,35.85679833,1,653
7041049700,618,두류파출소앞,Duryu Police Station,대구광역시,달서구,두류2동,128.5645033,35.85648167,1,653
7041051200,5016,성서청구타운앞,Seongseo Cheonggu Town,대구광역시,달서구,용산2동,128.5210317,35.85628167,2,527+급행5
7041051300,1130,대구학생문화센터,Daegu Culture Center for Student,대구광역시,달서구,용산1동,128.5291376,35.85224785,2,달서3+성서3
7041051400,5177,우방드림시티앞,Woobang Dream City Apts,대구광역시,달서구,감삼동,128.5369483,35.84598667,3,달서5+서구1-1+성서2
7041051500,814,대건고교-효성여고2,Daegun High School-Hyosung Girls' High School,대구광역시,달서구,본동,128.5306325,35.83601473,2,달서3+달서4-1
7041051600,812,월성주공3단지,Wolseong Jugong Apts 4,대구광역시,달서구,월성2동,128.5311933,35.83244,2,달서3+달서4-1
7041051700,813,대건고교-효성여고1,Daegun High School-Hyosung Girls' High School,대구광역시,달서구,본동,128.5307764,35.83612942,2,달서3+달서4
7041051800,735,현대백조아파트건너,Hyundai Baekjo Town,대구광역시,달서구,본리동,128.530475,35.84084,2,달서3+달서4-1
7041051900,870,성산초등학교앞,Seongsan Elementary School,대구광역시,달서구,이곡1동,128.51758,35.85718667,1,503
7041052000,869,성산중학교앞,Seongsan Middle School,대구광역시,달서구,이곡1동,128.5179217,35.857045,1,503
7041052400,384,장기파랑새마을앞,Janggi Parangsae-maeul,대구광역시,달서구,장기동,128.5280217,35.84524667,2,805+성서3
7041052500,149,장기영남네오빌,Janggi Yeongnam Neovil,대구광역시,달서구,장기동,128.5277917,35.84795667,1,성서3
7041052600,1361,성서보성타운2차건너2,Seongseo Boseong Town 2-cha,대구광역시,달서구,용산2동,128.5177383,35.85868167,1,524
7041052700,20482,전자관,EleCenteronic Cmplx,대구광역시,북구,산격2동,128.6086313,35.90695887,9,300+304+306+323+323-1+413+503+653+937
7041052800,1640,유천포스코건너,Yucheon Posco,대구광역시,달서구,진천동,128.5102351,35.8143334,8,655+7250+836+달서1+달서4+달서4-1+성서1+성서1-1
7041052900,1639,유천포스코앞,Yucheon Posco,대구광역시,달서구,진천동,128.5091483,35.81437167,7,655+836+달서1+달서4+달서4-1+성서1+성서1-1
7041053000,1646,성서4차산업단지앞1,Seongseo 4-cha Industrial Cmplx,대구광역시,달서구,월성2동,128.5055583,35.81730833,1,성서1-1
7041053100,2259,대천교,Daecheongyo (Bridge),대구광역시,달서구,월성2동,128.5039483,35.81736833,8,609+655+836+급행6+급행7+달서1+성서1-1+성서2
7041053200,9126,유천교1,Yucheongyo (Bridge),대구광역시,달서구,진천동,128.5145767,35.81158333,10,655+7250+836+급행7+달서1+달서4+달서4-1+달성5+성서1+성서1-1
7041053300,2706,유천교2,Yucheongyo (Bridge),대구광역시,달서구,진천동,128.514222,35.811482,6,655+급행7+달서1+달서4+달서4-1+달성5
7041053400,1902,우방죽전타운앞2,Woobang Jukjeon Town Apts,대구광역시,달서구,용산1동,128.530698,35.850308,2,달서3+성서3
7041053500,2514,상인현대맨션앞,Sangin Hyundai Mansion,대구광역시,달서구,상인1동,128.53955,35.817003,7,649+653+706+726+달서1+달서3+달서4
7041053700,5231,장기초록나라건너,Janggi Choroknara,대구광역시,달서구,장기동,128.530765,35.845477,4,518+805+달서3+성서3
7041053800,4854,대구전자공업고등학교2,Daegu EleCenteronics Technology High School,대구광역시,달서구,장기동,128.53081,35.847878,2,달서3+성서3
7041053900,1316,죽전119안전센터건너,Jukjeon 119 Center,대구광역시,달서구,죽전동,128.537157,35.853542,2,503+서구1-1
7041054000,4852,대성테크앞,Daesung Tech,대구광역시,달서구,월성2동,128.503137,35.824822,1,성서1
7041054100,4853,삼우섬유앞,Samu Fibre,대구광역시,달서구,월성2동,128.503158,35.82478,1,성서1-1
7041054200,4851,삼성물류센터앞,Samsung Logistics Center,대구광역시,달서구,신당동,128.491698,35.842287,4,503+518+7250+달서3
7041054300,4698,신흥버스,Sinheung Bus Company,대구광역시,달서구,신당동,128.4930951,35.83515232,6,156+503+518+급행5+급행6+달서3
7041054400,9235,조암초등학교앞,Joam Elementary School,대구광역시,달서구,월성1동,128.5266848,35.82483615,3,609+달서4+달서4-1
7041054500,9234,월성코오롱하늘채앞,Wolseong Kolon Haneulchae Apts,대구광역시,달서구,월성1동,128.5225092,35.82328697,4,609+달서4+달서4-1+성서2
7041054600,2421,월성코오롱하늘채건너,Wolseong Kolon Haneulchae Apts,대구광역시,달서구,월성1동,128.522435,35.82355167,4,609+달서4+달서4-1+성서2
7041054700,9282,조암초등학교건너,Joam Elementary School,대구광역시,달서구,월성1동,128.5275988,35.82543778,3,609+달서4+달서4-1
7041054800,2414,월배이안아파트건너,Wolbae Ian Apts,대구광역시,달서구,월성1동,128.5211537,35.8197553,2,609+성서2
7041054900,2415,월배이안아파트앞,Wolbae Ian Apts,대구광역시,달서구,월성1동,128.5208156,35.81971538,2,609+성서2
7041055000,2441,성서주공5단지앞,Seongseo Jugong Apts 5,대구광역시,달서구,용산2동,128.5209726,35.85804975,1,503
7041055100,2467,달서별빛캠핑장앞,Dalseo Starlight Camp,대구광역시,달서구,송현1동,128.5566017,35.82598333,1,달서4-1
7041055200,9123,상인역e-편한세상앞,Sangin E-pyeonhansesang Apts,대구광역시,달서구,상인1동,128.534015,35.8218,8,356+651+653+706+달서1+달서3+달서4-1+달서5
7041055300,2445,청남타운앞,Cheongnam Town Apts,대구광역시,달서구,이곡2동,128.4998747,35.85379818,1,달서1
7041055400,1451,조암네거리1,Joam (4) Junction,대구광역시,달서구,월성1동,128.51922,35.821055,2,609+성서2
7041055500,1509,조암네거리2,Joam (4) Junction,대구광역시,달서구,월성1동,128.5192217,35.82084667,2,609+성서2
7041055600,2460,용산역,Yongsan Station,대구광역시,달서구,장기동,128.5278872,35.84795997,1,805
7041055700,2518,장기초등학교1,Janggi Elementary School,대구광역시,달서구,장기동,128.5277439,35.84365835,2,805+성서3
7041055800,2683,장기초등학교2,Janggi Elementary School,대구광역시,달서구,장기동,128.5273621,35.8435119,1,성서3
7041055900,2627,대구전자공고남편,Daegu EleCenteronics Technology High School,대구광역시,달서구,장기동,128.5293395,35.8467587,1,805
7041056000,2989,달서아트센터앞,Dalseo Arts Center,대구광역시,달서구,장기동,128.5237518,35.84330398,2,805+성서3
7041056100,2988,달서아트센터건너,Dalseo Arts Center,대구광역시,달서구,장기동,128.5238175,35.84354993,2,805+성서3
7041056200,696,본리네거리3,Bolli (4) Junction,대구광역시,달서구,본리동,128.5384483,35.83757,2,156+564
7041056300,978,성림첨단산업건너,Stargroup IND. Co. LTD,대구광역시,달서구,신당동,128.4857133,35.83664167,1,성서1-1
7041056400,1157,성림첨단산업앞,Stargroup IND. CO. LTD,대구광역시,달서구,신당동,128.4858847,35.83663575,1,성서1
7041056500,1934,월배힐스테이트앞,Wolbae Hillstate Apts,대구광역시,달서구,월성1동,128.51987,35.81837833,3,급행6+달서1+성서2
7041056800,1959,월배쌍용예가앞,Wolbae Ssangyong Yega Apts,대구광역시,달서구,진천동,128.5175983,35.816585,2,달서1+성서2
7041056900,1962,월배쌍용예가건너,Wolbae Ssangyong Yega Apts,대구광역시,달서구,진천동,128.5176517,35.81642333,2,달서1+성서2
7041057000,1963,월배힐스테이트건너,Wolbae Hillstate Apts,대구광역시,달서구,월성1동,128.5198333,35.81818667,3,급행6+달서1+성서2
7041057100,2444,월배차량기지앞,Wolbae Depot,대구광역시,달서구,진천동,128.5128394,35.81519707,3,609+달서1+성서2
7041057200,2443,월배차량기지건너,Wolbae Depot,대구광역시,달서구,진천동,128.5129539,35.81541043,3,609+달서1+성서2
7041057300,2466,청남타운건너,Cheongnam Town Apts,대구광역시,달서구,신당동,128.4997035,35.85383308,1,달서1
7041057400,3157,상인2동행정복지센터건너,Sangin 2-dong Community Service Center,대구광역시,달서구,상인2동,128.5366083,35.81262667,2,356+618
7041057500,3158,상화네거리,Sanghwa (4) Junction,대구광역시,달서구,상인2동,128.5361667,35.81071667,2,618+726
7041057600,2786,서부정류장역북편1,Seobu Bus Terminal Station,대구광역시,달서구,성당1동,128.5569617,35.83904833,1,805
7041057700,2787,서부정류장역북편2,Seobu Bus Terminal Station,대구광역시,달서구,성당1동,128.556485,35.83906833,1,805
7041057800,2788,삼호아파트건너,Samho Apts,대구광역시,달서구,성당2동,128.5522633,35.83860667,1,805
7041057900,2789,성당초교앞,Seongdang Elementary School,대구광역시,달서구,본리동,128.54742,35.83956333,1,805
7041058100,2824,대진중고등학교건너,Daejin Middle and High School,대구광역시,달서구,진천동,128.5208133,35.80582667,2,달서3+달서5
7041058200,2820,정부대구지방합동청사앞,Central Government Office-DAEGU,대구광역시,달서구,진천동,128.5165833,35.804055,1,달서3
7041058300,2823,정부대구지방합동청사건너,Central Government Office-DAEGU,대구광역시,달서구,진천동,128.517285,35.80381167,1,달서3
7041058400,2819,대진중고등학교앞,Daejin Middle and High School,대구광역시,달서구,진천동,128.5204717,35.80579833,2,달서3+달서5
7041058500,2750,정부대구지방합동청사후문1,Central Government Office-DAEGU,대구광역시,달서구,진천동,128.5177967,35.80475333,1,달서5
7041058600,2966,1차서한화성타운건너,Seohan Hwasung Town 1-cha,대구광역시,달서구,용산1동,128.529435,35.85394833,2,달서3+성서3
7041058700,2999,성서4차산업단지앞2,Seongseo 4-cha Industrial Complex,대구광역시,달서구,월성2동,128.50451,35.81736,9,609+655+7250+836+급행6+급행7+달서1+성서1+성서2
7041058800,3856,월배아이파크1차앞,Wolbae Ipark 1-cha Apts,대구광역시,달서구,진천동,128.5158424,35.81492555,3,급행6+달서1+성서2
7041058900,9231,진천역AK그랑폴리스아파트앞,Jincheon AK Grandpolis Apts,대구광역시,달서구,진천동,128.516307,35.81506335,3,급행6+달서1+성서2
7041059000,3855,e-편한세상월배앞,E-pyeonhansesang Wolbae Apts,대구광역시,달서구,월성1동,128.5232509,35.82737755,1,성서2
7041059100,3854,e-편한세상월배건너,E-pyeonhansesang Wolbae Apts,대구광역시,달서구,월성1동,128.5235014,35.82736067,1,성서2
7041059200,3861,정부대구지방합동청사후문2,Central Government Office-DAEGU,대구광역시,달서구,진천동,128.5178091,35.80486963,1,달서5
7041059300,3852,서부정류장(관문시장건너)2,Seobu Bus Terminal,대구광역시,달서구,송현2동,128.5565654,35.8366022,2,750+남구1-1
7041059400,3853,월촌역(7번출구)1,Wolchon Station,대구광역시,달서구,송현2동,128.5462522,35.82477207,1,달서4
7041059500,3862,대곡주공5단지앞,Daegok Jugong Apts 5,대구광역시,달서구,도원동,128.5314423,35.80951007,1,306
7041059600,3863,대곡주공5단지건너,Daegok Jugong Apts 5,대구광역시,달서구,진천동,128.5323095,35.8098926,1,306
7041059700,3858,달서자동차검사소앞,Dalseo Vehicle Inspection Station,대구광역시,달서구,진천동,128.5166856,35.81281388,1,609
7041059800,3857,달서자동차검사소건너,Dalseo Vehicle Inspection Station,대구광역시,달서구,진천동,128.5162634,35.81291592,1,609
7041059900,3887,죽전네거리3,Jukjeon(4) Junction,대구광역시,달서구,죽전동,128.5370754,35.85122102,2,급행8+서구1-1
7041060100,3902,남도버스1,Namdo Bus Company,대구광역시,달서구,진천동,128.5273182,35.80775028,5,7250+급행7+달서4+달서4-1+달서5
7041060200,3901,남도버스2,Namdo Bus Company,대구광역시,달서구,진천동,128.5274083,35.80820333,4,급행7+달서4+달서4-1+달서5
7041060300,3903,반고개역(3번출구),Bangogae Station,대구광역시,달서구,두류1동,128.5738167,35.86236,1,323-1
7041060400,3921,대천공영차고지앞,Daecheon Public Garage,대구광역시,달서구,월성2동,128.5050667,35.81661127,4,609+836+달서1+성서2
7041060500,3954,성서국민체육센터앞,Sungseo Public Sports Center,대구광역시,달서구,이곡2동,128.5062243,35.85923558,3,509+524+성서3
7041060600,9283,국민연금네거리,national pension juction,대구광역시,달서구,이곡1동,128.5089248,35.85523792,5,405+503+527+달서3+달서5
7041060700,3966,국민연금네거리1,national pension junction,대구광역시,달서구,이곡1동,128.5082246,35.85543478,5,405+503+527+달서3+달서5
7041060800,3970,한화꿈에그린건너2,Hanwha Dream and Green Apts,대구광역시,달서구,신당동,128.4920639,35.86267807,2,425+달서1
7041060900,9125,월배아이파크2차앞,Wolbae Ipark 2-cha Apts,대구광역시,달서구,진천동,128.5106607,35.81694717,6,609+급행6+달서1+달서4+달서4-1+성서2
7041061000,9303,월배아이파크2차건너,Wolbae Ipark 2-cha Apts,대구광역시,달서구,진천동,128.5104998,35.8168782,6,609+급행6+달서1+달서4+달서4-1+성서2
7041061100,4020,유천초등학교앞,Yucheon Elementary School,대구광역시,달서구,진천동,128.5134936,35.81190383,1,836
7041061200,4022,대구세명학교건너,Daegu Semyung School,대구광역시,달서구,용산2동,128.5236989,35.86397458,1,524
7041061300,9304,계명대학교동산병원건너,Keimyung University Dongsan Hospital,대구광역시,달서구,신당동,128.4816865,35.85252133,6,250+524+527+564+655+성서2
7041061400,4079,대곡고등학교앞,Daegok High School,대구광역시,달서구,도원동,128.5373822,35.80389807,3,306+649+달서3
7041061500,4081,월배국민체육센터건너,Wolbae Public Sports Center,대구광역시,달서구,도원동,128.5356974,35.80215858,3,306+649+달서3
7041061600,4083,수목원풍경그린아파트건너,Arboretum Pungkyunggreen,대구광역시,달서구,진천동,128.533132,35.80055893,3,306+649+달서3
7041061700,4085,수목원호정포레스트아파트앞,Arboretum Hojung Forest,대구광역시,달서구,진천동,128.5303019,35.79883465,3,306+649+달서3
7041061800,4087,새각단건너,Saegakdan,대구광역시,달서구,진천동,128.5289043,35.80041895,3,306+649+달서3
7041061900,4089,대곡파출소1,Daegok Police Station,대구광역시,달서구,진천동,128.5285796,35.8041072,3,306+649+달서3
7041062000,4091,대곡공원건너,Daegok Park,대구광역시,달서구,도원동,128.5283983,35.80687,3,306+649+달서3
7041062100,4092,대곡공원앞,Daegok Park,대구광역시,달서구,진천동,128.5282167,35.807115,3,306+649+달서3
7041062200,4090,대곡파출소2,Daegok Police Station,대구광역시,달서구,진천동,128.5284673,35.8037938,3,306+649+달서3
7041062300,4088,새각단앞,Saegakdan,대구광역시,달서구,진천동,128.5287947,35.80039885,3,306+649+달서3
7041062400,4086,수목원제일풍경채앞,Arboretum Jaeil Pungkyungchae,대구광역시,달서구,진천동,128.5301834,35.79869097,3,306+649+달서3
7041062500,4084,수목원풍경그린아파트앞,Arboretum Pungkyunggreen,대구광역시,달서구,진천동,128.5332775,35.80040918,3,306+649+달서3
7041062600,4082,월배국민체육센터앞,Wolbae Public Sports Center,대구광역시,달서구,도원동,128.5350344,35.80180738,3,306+649+달서3
7041062700,4080,대곡고등학교건너,Daegok High School,대구광역시,달서구,도원동,128.5370056,35.80411133,3,306+649+달서3
7041062800,4097,대곡청구아파트건너,Daegok Cheonggu Apts,대구광역시,달서구,진천동,128.5161767,35.807625,1,달서5
7041062900,4099,대구물류터미널건너,Daegu Logistic Terminal,대구광역시,달서구,장기동,128.518775,35.83665333,2,156+564
