"备焙喊(1)","己喊(1)","楷飞喊(1)",楷飞喊(2),2021
"措备堡开矫","拌","65 ~ 69技",家拌,142345
"措备堡开矫","拌","65 ~ 69技",65技,32033
"措备堡开矫","拌","65 ~ 69技",66技,31761
"措备堡开矫","拌","65 ~ 69技",67技,25505
"措备堡开矫","拌","65 ~ 69技",68技,26940
"措备堡开矫","拌","65 ~ 69技",69技,26106
"措备堡开矫","拌","70 ~ 74技",家拌,102760
"措备堡开矫","拌","70 ~ 74技",70技,20131
"措备堡开矫","拌","70 ~ 74技",71技,21806
"措备堡开矫","拌","70 ~ 74技",72技,21999
"措备堡开矫","拌","70 ~ 74技",73技,20264
"措备堡开矫","拌","70 ~ 74技",74技,18560
"措备堡开矫","拌","75 ~ 79技",家拌,72569
"措备堡开矫","拌","75 ~ 79技",75技,11295
"措备堡开矫","拌","75 ~ 79技",76技,14288
"措备堡开矫","拌","75 ~ 79技",77技,14957
"措备堡开矫","拌","75 ~ 79技",78技,16657
"措备堡开矫","拌","75 ~ 79技",79技,15372
"措备堡开矫","拌","80 ~ 84技",家拌,53060
"措备堡开矫","拌","80 ~ 84技",80技,12849
"措备堡开矫","拌","80 ~ 84技",81技,11844
"措备堡开矫","拌","80 ~ 84技",82技,10835
"措备堡开矫","拌","80 ~ 84技",83技,9236
"措备堡开矫","拌","80 ~ 84技",84技,8296
"措备堡开矫","拌","85 ~ 89技",家拌,26761
"措备堡开矫","拌","85 ~ 89技",85技,7525
"措备堡开矫","拌","85 ~ 89技",86技,6459
"措备堡开矫","拌","85 ~ 89技",87技,5179
"措备堡开矫","拌","85 ~ 89技",88技,4171
"措备堡开矫","拌","85 ~ 89技",89技,3427
"措备堡开矫","拌","90 ~ 94技",家拌,8039
"措备堡开矫","拌","90 ~ 94技",90技,2522
"措备堡开矫","拌","90 ~ 94技",91技,1929
"措备堡开矫","拌","90 ~ 94技",92技,1564
"措备堡开矫","拌","90 ~ 94技",93技,1170
"措备堡开矫","拌","90 ~ 94技",94技,854
"措备堡开矫","拌","95技 捞惑",家拌,1651
"措备堡开矫","巢磊","拌",家拌,1188864
"措备堡开矫","巢磊","0 ~ 4技",家拌,36546
"措备堡开矫","巢磊","0 ~ 4技",0技,5984
"措备堡开矫","巢磊","0 ~ 4技",1技,6440
"措备堡开矫","巢磊","0 ~ 4技",2技,7055
"措备堡开矫","巢磊","0 ~ 4技",3技,8030
"措备堡开矫","巢磊","0 ~ 4技",4技,9037
"措备堡开矫","巢磊","5 ~ 9技",家拌,52240
"措备堡开矫","巢磊","5 ~ 9技",5技,10062
"措备堡开矫","巢磊","5 ~ 9技",6技,10265
"措备堡开矫","巢磊","5 ~ 9技",7技,10073
"措备堡开矫","巢磊","5 ~ 9技",8技,10859
"措备堡开矫","巢磊","5 ~ 9技",9技,10981
"措备堡开矫","巢磊","10 ~ 14技",家拌,54727
"措备堡开矫","巢磊","10 ~ 14技",10技,11241
"措备堡开矫","巢磊","10 ~ 14技",11技,10418
"措备堡开矫","巢磊","10 ~ 14技",12技,10703
"措备堡开矫","巢磊","10 ~ 14技",13技,11491
"措备堡开矫","巢磊","10 ~ 14技",14技,10874
"措备堡开矫","巢磊","15 ~ 19技",家拌,59319
"措备堡开矫","巢磊","15 ~ 19技",15技,10705
"措备堡开矫","巢磊","15 ~ 19技",16技,11020
"措备堡开矫","巢磊","15 ~ 19技",17技,12078
"措备堡开矫","巢磊","15 ~ 19技",18技,12354
"措备堡开矫","巢磊","15 ~ 19技",19技,13162
"措备堡开矫","巢磊","20 ~ 24技",家拌,81801
"措备堡开矫","巢磊","20 ~ 24技",20技,15519
"措备堡开矫","巢磊","20 ~ 24技",21技,16540
"措备堡开矫","巢磊","20 ~ 24技",22技,15913
"措备堡开矫","巢磊","20 ~ 24技",23技,16679
"措备堡开矫","巢磊","20 ~ 24技",24技,17150
"措备堡开矫","巢磊","25 ~ 29技",家拌,88338
"措备堡开矫","巢磊","25 ~ 29技",25技,18036
"措备堡开矫","巢磊","25 ~ 29技",26技,17808
"措备堡开矫","巢磊","25 ~ 29技",27技,17759
"措备堡开矫","巢磊","25 ~ 29技",28技,17415
"措备堡开矫","巢磊","25 ~ 29技",29技,17320
"措备堡开矫","巢磊","30 ~ 34技",家拌,75881
"措备堡开矫","巢磊","30 ~ 34技",30技,15510
"措备堡开矫","巢磊","30 ~ 34技",31技,15944
"措备堡开矫","巢磊","30 ~ 34技",32技,15241
"措备堡开矫","巢磊","30 ~ 34技",33技,14495
"措备堡开矫","巢磊","30 ~ 34技",34技,14691
"措备堡开矫","巢磊","35 ~ 39技",家拌,80749
"措备堡开矫","巢磊","35 ~ 39技",35技,14901
"措备堡开矫","巢磊","35 ~ 39技",36技,14651
"措备堡开矫","巢磊","35 ~ 39技",37技,15734
"措备堡开矫","巢磊","35 ~ 39技",38技,17077
"措备堡开矫","巢磊","35 ~ 39技",39技,18386
"措备堡开矫","巢磊","40 ~ 44技",家拌,89003
"措备堡开矫","巢磊","40 ~ 44技",40技,18880
"措备堡开矫","巢磊","40 ~ 44技",41技,18624
"措备堡开矫","巢磊","40 ~ 44技",42技,17082
"措备堡开矫","巢磊","40 ~ 44技",43技,16909
"措备堡开矫","巢磊","40 ~ 44技",44技,17508
"措备堡开矫","巢磊","45 ~ 49技",家拌,98210
"措备堡开矫","巢磊","45 ~ 49技",45技,17736
"措备堡开矫","巢磊","45 ~ 49技",46技,18658
"措备堡开矫","巢磊","45 ~ 49技",47技,20103
"措备堡开矫","巢磊","45 ~ 49技",48技,20747
"措备堡开矫","巢磊","45 ~ 49技",49技,20966
"措备堡开矫","巢磊","50 ~ 54技",家拌,105711
"措备堡开矫","巢磊","50 ~ 54技",50技,21556
"措备堡开矫","巢磊","50 ~ 54技",51技,21299
"措备堡开矫","巢磊","50 ~ 54技",52技,22102
"措备堡开矫","巢磊","50 ~ 54技",53技,20776
"措备堡开矫","巢磊","50 ~ 54技",54技,19978
"措备堡开矫","巢磊","55 ~ 59技",家拌,99071
"措备堡开矫","巢磊","55 ~ 59技",55技,20020
"措备堡开矫","巢磊","55 ~ 59技",56技,19667
"措备堡开矫","巢磊","55 ~ 59技",57技,18419
"措备堡开矫","巢磊","55 ~ 59技",58技,21074
"措备堡开矫","巢磊","55 ~ 59技",59技,19891
"措备堡开矫","巢磊","60 ~ 64技",家拌,93811
"措备堡开矫","巢磊","60 ~ 64技",60技,21808
"措备堡开矫","巢磊","60 ~ 64技",61技,20262
"措备堡开矫","巢磊","60 ~ 64技",62技,18502
"措备堡开矫","巢磊","60 ~ 64技",63技,16877
"措备堡开矫","巢磊","60 ~ 64技",64技,16362
"措备堡开矫","巢磊","65 ~ 69技",家拌,66442
"措备堡开矫","巢磊","65 ~ 69技",65技,15214
"措备堡开矫","巢磊","65 ~ 69技",66技,14948
"措备堡开矫","巢磊","65 ~ 69技",67技,11932
"措备堡开矫","巢磊","65 ~ 69技",68技,12347
"措备堡开矫","巢磊","65 ~ 69技",69技,12001
"措备堡开矫","巢磊","70 ~ 74技",家拌,46568
"措备堡开矫","巢磊","70 ~ 74技",70技,9244
"措备堡开矫","巢磊","70 ~ 74技",71技,10189
"措备堡开矫","巢磊","70 ~ 74技",72技,9892
"措备堡开矫","巢磊","70 ~ 74技",73技,9107
"措备堡开矫","巢磊","70 ~ 74技",74技,8136
"措备堡开矫","巢磊","75 ~ 79技",家拌,30640
"措备堡开矫","巢磊","75 ~ 79技",75技,5104
"措备堡开矫","巢磊","75 ~ 79技",76技,6061
"措备堡开矫","巢磊","75 ~ 79技",77技,6120
"措备堡开矫","巢磊","75 ~ 79技",78技,6979
"措备堡开矫","巢磊","75 ~ 79技",79技,6376
"措备堡开矫","巢磊","80 ~ 84技",家拌,19637
"措备堡开矫","巢磊","80 ~ 84技",80技,4974
"措备堡开矫","巢磊","80 ~ 84技",81技,4444
"措备堡开矫","巢磊","80 ~ 84技",82技,4063
"措备堡开矫","巢磊","80 ~ 84技",83技,3286
"措备堡开矫","巢磊","80 ~ 84技",84技,2870
"措备堡开矫","巢磊","85 ~ 89技",家拌,8168
"措备堡开矫","巢磊","85 ~ 89技",85技,2449
"措备堡开矫","巢磊","85 ~ 89技",86技,2084
"措备堡开矫","巢磊","85 ~ 89技",87技,1542
"措备堡开矫","巢磊","85 ~ 89技",88技,1169
"措备堡开矫","巢磊","85 ~ 89技",89技,924
"措备堡开矫","巢磊","90 ~ 94技",家拌,1729
"措备堡开矫","巢磊","90 ~ 94技",90技,584
"措备堡开矫","巢磊","90 ~ 94技",91技,406
"措备堡开矫","巢磊","90 ~ 94技",92技,328
"措备堡开矫","巢磊","90 ~ 94技",93技,244
"措备堡开矫","巢磊","90 ~ 94技",94技,167
"措备堡开矫","巢磊","95技 捞惑",家拌,273
"措备堡开矫","咯磊","拌",家拌,1216200
"措备堡开矫","咯磊","0 ~ 4技",家拌,34923
"措备堡开矫","咯磊","0 ~ 4技",0技,5724
"措备堡开矫","咯磊","0 ~ 4技",1技,6156
"措备堡开矫","咯磊","0 ~ 4技",2技,6873
"措备堡开矫","咯磊","0 ~ 4技",3技,7542
"措备堡开矫","咯磊","0 ~ 4技",4技,8628
"措备堡开矫","咯磊","5 ~ 9技",家拌,50162
"措备堡开矫","咯磊","5 ~ 9技",5技,9626
"措备堡开矫","咯磊","5 ~ 9技",6技,9917
"措备堡开矫","咯磊","5 ~ 9技",7技,9780
"措备堡开矫","咯磊","5 ~ 9技",8技,10238
"措备堡开矫","咯磊","5 ~ 9技",9技,10601
"措备堡开矫","咯磊","10 ~ 14技",家拌,50980
"措备堡开矫","咯磊","10 ~ 14技",10技,10512
"措备堡开矫","咯磊","10 ~ 14技",11技,9617
"措备堡开矫","咯磊","10 ~ 14技",12技,9843
"措备堡开矫","咯磊","10 ~ 14技",13技,10810
"措备堡开矫","咯磊","10 ~ 14技",14技,10198
"措备堡开矫","咯磊","15 ~ 19技",家拌,53414
"措备堡开矫","咯磊","15 ~ 19技",15技,9728
"措备堡开矫","咯磊","15 ~ 19技",16技,10107
"措备堡开矫","咯磊","15 ~ 19技",17技,10904
"措备堡开矫","咯磊","15 ~ 19技",18技,10963
"措备堡开矫","咯磊","15 ~ 19技",19技,11712
"措备堡开矫","咯磊","20 ~ 24技",家拌,73197
"措备堡开矫","咯磊","20 ~ 24技",20技,13882
"措备堡开矫","咯磊","20 ~ 24技",21技,14522
"措备堡开矫","咯磊","20 ~ 24技",22技,13962
"措备堡开矫","咯磊","20 ~ 24技",23技,15302
"措备堡开矫","咯磊","20 ~ 24技",24技,15529
"措备堡开矫","咯磊","25 ~ 29技",家拌,74443
"措备堡开矫","咯磊","25 ~ 29技",25技,15512
"措备堡开矫","咯磊","25 ~ 29技",26技,14668
"措备堡开矫","咯磊","25 ~ 29技",27技,14812
"措备堡开矫","咯磊","25 ~ 29技",28技,14806
"措备堡开矫","咯磊","25 ~ 29技",29技,14645
"措备堡开矫","咯磊","30 ~ 34技",家拌,64628
"措备堡开矫","咯磊","30 ~ 34技",30技,13289
"措备堡开矫","咯磊","30 ~ 34技",31技,13359
"措备堡开矫","咯磊","30 ~ 34技",32技,12669
"措备堡开矫","咯磊","30 ~ 34技",33技,12419
"措备堡开矫","咯磊","30 ~ 34技",34技,12892
"措备堡开矫","咯磊","35 ~ 39技",家拌,76565
"措备堡开矫","咯磊","35 ~ 39技",35技,13163
"措备堡开矫","咯磊","35 ~ 39技",36技,13039
"措备堡开矫","咯磊","35 ~ 39技",37技,14902
"措备堡开矫","咯磊","35 ~ 39技",38技,17142
"措备堡开矫","咯磊","35 ~ 39技",39技,18319
"措备堡开矫","咯磊","40 ~ 44技",家拌,88927
"措备堡开矫","咯磊","40 ~ 44技",40技,18614
"措备堡开矫","咯磊","40 ~ 44技",41技,18777
"措备堡开矫","咯磊","40 ~ 44技",42技,17295
"措备堡开矫","咯磊","40 ~ 44技",43技,16924
"措备堡开矫","咯磊","40 ~ 44技",44技,17317
"措备堡开矫","咯磊","45 ~ 49技",家拌,101133
"措备堡开矫","咯磊","45 ~ 49技",45技,17822
"措备堡开矫","咯磊","45 ~ 49技",46技,19238
"措备堡开矫","咯磊","45 ~ 49技",47技,20923
"措备堡开矫","咯磊","45 ~ 49技",48技,21494
"措备堡开矫","咯磊","45 ~ 49技",49技,21656
"措备堡开矫","咯磊","50 ~ 54技",家拌,110681
"措备堡开矫","咯磊","50 ~ 54技",50技,22377
"措备堡开矫","咯磊","50 ~ 54技",51技,22337
"措备堡开矫","咯磊","50 ~ 54技",52技,23269
"措备堡开矫","咯磊","50 ~ 54技",53技,21759
"措备堡开矫","咯磊","50 ~ 54技",54技,20939
"措备堡开矫","咯磊","55 ~ 59技",家拌,103056
"措备堡开矫","咯磊","55 ~ 59技",55技,20787
"措备堡开矫","咯磊","55 ~ 59技",56技,20910
"措备堡开矫","咯磊","55 ~ 59技",57技,19158
"措备堡开矫","咯磊","55 ~ 59技",58技,21603
"措备堡开矫","咯磊","55 ~ 59技",59技,20598
"措备堡开矫","咯磊","60 ~ 64技",家拌,100363
"措备堡开矫","咯磊","60 ~ 64技",60技,23394
"措备堡开矫","咯磊","60 ~ 64技",61技,22271
"措备堡开矫","咯磊","60 ~ 64技",62技,19675
"措备堡开矫","咯磊","60 ~ 64技",63技,17524
"措备堡开矫","咯磊","60 ~ 64技",64技,17499
"措备堡开矫","咯磊","65 ~ 69技",家拌,75903
"措备堡开矫","咯磊","65 ~ 69技",65技,16819
"措备堡开矫","咯磊","65 ~ 69技",66技,16813
"措备堡开矫","咯磊","65 ~ 69技",67技,13573
"措备堡开矫","咯磊","65 ~ 69技",68技,14593
"措备堡开矫","咯磊","65 ~ 69技",69技,14105
"措备堡开矫","咯磊","70 ~ 74技",家拌,56192
"措备堡开矫","咯磊","70 ~ 74技",70技,10887
"措备堡开矫","咯磊","70 ~ 74技",71技,11617
"措备堡开矫","咯磊","70 ~ 74技",72技,12107
"措备堡开矫","咯磊","70 ~ 74技",73技,11157
"措备堡开矫","咯磊","70 ~ 74技",74技,10424
"措备堡开矫","咯磊","75 ~ 79技",家拌,41929
"措备堡开矫","咯磊","75 ~ 79技",75技,6191
"措备堡开矫","咯磊","75 ~ 79技",76技,8227
"措备堡开矫","咯磊","75 ~ 79技",77技,8837
"措备堡开矫","咯磊","75 ~ 79技",78技,9678
"措备堡开矫","咯磊","75 ~ 79技",79技,8996
"措备堡开矫","咯磊","80 ~ 84技",家拌,33423
"措备堡开矫","咯磊","80 ~ 84技",80技,7875
"措备堡开矫","咯磊","80 ~ 84技",81技,7400
"措备堡开矫","咯磊","80 ~ 84技",82技,6772
"措备堡开矫","咯磊","80 ~ 84技",83技,5950
"措备堡开矫","咯磊","80 ~ 84技",84技,5426
"措备堡开矫","咯磊","85 ~ 89技",家拌,18593
"措备堡开矫","咯磊","85 ~ 89技",85技,5076
"措备堡开矫","咯磊","85 ~ 89技",86技,4375
"措备堡开矫","咯磊","85 ~ 89技",87技,3637
"措备堡开矫","咯磊","85 ~ 89技",88技,3002
"措备堡开矫","咯磊","85 ~ 89技",89技,2503
"措备堡开矫","咯磊","90 ~ 94技",家拌,6310
"措备堡开矫","咯磊","90 ~ 94技",90技,1938
"措备堡开矫","咯磊","90 ~ 94技",91技,1523
"措备堡开矫","咯磊","90 ~ 94技",92技,1236
"措备堡开矫","咯磊","90 ~ 94技",93技,926
"措备堡开矫","咯磊","90 ~ 94技",94技,687
"措备堡开矫","咯磊","95技 捞惑",家拌,1378
"吝备","拌","拌",家拌,74883
"吝备","拌","0 ~ 4技",家拌,2269
"吝备","拌","0 ~ 4技",0技,381
"吝备","拌","0 ~ 4技",1技,387
"吝备","拌","0 ~ 4技",2技,441
"吝备","拌","0 ~ 4技",3技,500
"吝备","拌","0 ~ 4技",4技,560
"吝备","拌","5 ~ 9技",家拌,2731
"吝备","拌","5 ~ 9技",5技,571
"吝备","拌","5 ~ 9技",6技,578
"吝备","拌","5 ~ 9技",7技,508
"吝备","拌","5 ~ 9技",8技,557
"吝备","拌","5 ~ 9技",9技,517
"吝备","拌","10 ~ 14技",家拌,2319
"吝备","拌","10 ~ 14技",10技,527
"吝备","拌","10 ~ 14技",11技,441
"吝备","拌","10 ~ 14技",12技,444
"吝备","拌","10 ~ 14技",13技,474
"吝备","拌","10 ~ 14技",14技,433
"吝备","拌","15 ~ 19技",家拌,2642
"吝备","拌","15 ~ 19技",15技,469
"吝备","拌","15 ~ 19技",16技,471
"吝备","拌","15 ~ 19技",17技,519
"吝备","拌","15 ~ 19技",18技,580
"吝备","拌","15 ~ 19技",19技,603
"吝备","拌","20 ~ 24技",家拌,4718
"吝备","拌","20 ~ 24技",20技,704
"吝备","拌","20 ~ 24技",21技,844
"吝备","拌","20 ~ 24技",22技,929
"吝备","拌","20 ~ 24技",23技,1022
"吝备","拌","20 ~ 24技",24技,1219
"吝备","拌","25 ~ 29技",家拌,6756
"吝备","拌","25 ~ 29技",25技,1270
"吝备","拌","25 ~ 29技",26技,1408
"吝备","拌","25 ~ 29技",27技,1357
"吝备","拌","25 ~ 29技",28技,1373
"吝备","拌","25 ~ 29技",29技,1348
"吝备","拌","30 ~ 34技",家拌,5611
"吝备","拌","30 ~ 34技",30技,1229
"吝备","拌","30 ~ 34技",31技,1219
"吝备","拌","30 ~ 34技",32技,1110
"吝备","拌","30 ~ 34技",33技,1006
"吝备","拌","30 ~ 34技",34技,1047
"吝备","拌","35 ~ 39技",家拌,5473
"吝备","拌","35 ~ 39技",35技,1056
"吝备","拌","35 ~ 39技",36技,1025
"吝备","拌","35 ~ 39技",37技,1081
"吝备","拌","35 ~ 39技",38技,1135
"吝备","拌","35 ~ 39技",39技,1176
"吝备","拌","40 ~ 44技",家拌,5154
"吝备","拌","40 ~ 44技",40技,1198
"吝备","拌","40 ~ 44技",41技,1160
"吝备","拌","40 ~ 44技",42技,951
"吝备","拌","40 ~ 44技",43技,857
"吝备","拌","40 ~ 44技",44技,988
"吝备","拌","45 ~ 49技",家拌,5415
"吝备","拌","45 ~ 49技",45技,985
"吝备","拌","45 ~ 49技",46技,1033
"吝备","拌","45 ~ 49技",47技,1116
"吝备","拌","45 ~ 49技",48技,1128
"吝备","拌","45 ~ 49技",49技,1153
"吝备","拌","50 ~ 54技",家拌,5645
"吝备","拌","50 ~ 54技",50技,1181
"吝备","拌","50 ~ 54技",51技,1175
"吝备","拌","50 ~ 54技",52技,1098
"吝备","拌","50 ~ 54技",53技,1091
"吝备","拌","50 ~ 54技",54技,1100
"吝备","拌","55 ~ 59技",家拌,5324
"吝备","拌","55 ~ 59技",55技,1012
"吝备","拌","55 ~ 59技",56技,1071
"吝备","拌","55 ~ 59技",57技,1020
"吝备","拌","55 ~ 59技",58技,1119
"吝备","拌","55 ~ 59技",59技,1102
"吝备","拌","60 ~ 64技",家拌,5620
"吝备","拌","60 ~ 64技",60技,1215
"吝备","拌","60 ~ 64技",61技,1249
"吝备","拌","60 ~ 64技",62技,1085
"吝备","拌","60 ~ 64技",63技,1044
"吝备","拌","60 ~ 64技",64技,1027
"吝备","拌","65 ~ 69技",家拌,4578
"吝备","拌","65 ~ 69技",65技,1028
"吝备","拌","65 ~ 69技",66技,999
"吝备","拌","65 ~ 69技",67技,816
"吝备","拌","65 ~ 69技",68技,881
"吝备","拌","65 ~ 69技",69技,854
"吝备","拌","70 ~ 74技",家拌,3893
"吝备","拌","70 ~ 74技",70技,682
"吝备","拌","70 ~ 74技",71技,803
"吝备","拌","70 ~ 74技",72技,838
"吝备","拌","70 ~ 74技",73技,809
"吝备","拌","70 ~ 74技",74技,761
"吝备","拌","75 ~ 79技",家拌,3134
"吝备","拌","75 ~ 79技",75技,494
"吝备","拌","75 ~ 79技",76技,579
"吝备","拌","75 ~ 79技",77技,703
"吝备","拌","75 ~ 79技",78技,701
"吝备","拌","75 ~ 79技",79技,657
"吝备","拌","80 ~ 84技",家拌,2162
"吝备","拌","80 ~ 84技",80技,505
"吝备","拌","80 ~ 84技",81技,500
"吝备","拌","80 ~ 84技",82技,452
"吝备","拌","80 ~ 84技",83技,373
"吝备","拌","80 ~ 84技",84技,332
"吝备","拌","85 ~ 89技",家拌,1039
"吝备","拌","85 ~ 89技",85技,292
"吝备","拌","85 ~ 89技",86技,257
"吝备","拌","85 ~ 89技",87技,201
"吝备","拌","85 ~ 89技",88技,152
"吝备","拌","85 ~ 89技",89技,137
"吝备","拌","90 ~ 94技",家拌,325
"吝备","拌","90 ~ 94技",90技,105
"吝备","拌","90 ~ 94技",91技,69
"吝备","拌","90 ~ 94技",92技,65
"吝备","拌","90 ~ 94技",93技,48
"吝备","拌","90 ~ 94技",94技,38
"吝备","拌","95技 捞惑",家拌,75
"吝备","巢磊","拌",家拌,35999
"吝备","巢磊","0 ~ 4技",家拌,1155
"吝备","巢磊","0 ~ 4技",0技,195
"吝备","巢磊","0 ~ 4技",1技,196
"吝备","巢磊","0 ~ 4技",2技,228
"吝备","巢磊","0 ~ 4技",3技,256
"吝备","巢磊","0 ~ 4技",4技,280
"吝备","巢磊","5 ~ 9技",家拌,1387
"吝备","巢磊","5 ~ 9技",5技,301
"吝备","巢磊","5 ~ 9技",6技,274
"吝备","巢磊","5 ~ 9技",7技,251
"吝备","巢磊","5 ~ 9技",8技,281
"吝备","巢磊","5 ~ 9技",9技,280
"吝备","巢磊","10 ~ 14技",家拌,1190
"吝备","巢磊","10 ~ 14技",10技,266
"吝备","巢磊","10 ~ 14技",11技,236
"吝备","巢磊","10 ~ 14技",12技,229
"吝备","巢磊","10 ~ 14技",13技,228
"吝备","巢磊","10 ~ 14技",14技,231
"吝备","巢磊","15 ~ 19技",家拌,1315
"吝备","巢磊","15 ~ 19技",15技,239
"吝备","巢磊","15 ~ 19技",16技,232
"吝备","巢磊","15 ~ 19技",17技,241
"吝备","巢磊","15 ~ 19技",18技,302
"吝备","巢磊","15 ~ 19技",19技,301
"吝备","巢磊","20 ~ 24技",家拌,2148
"吝备","巢磊","20 ~ 24技",20技,336
"吝备","巢磊","20 ~ 24技",21技,387
"吝备","巢磊","20 ~ 24技",22技,416
"吝备","巢磊","20 ~ 24技",23技,445
"吝备","巢磊","20 ~ 24技",24技,564
"吝备","巢磊","25 ~ 29技",家拌,3347
"吝备","巢磊","25 ~ 29技",25技,608
"吝备","巢磊","25 ~ 29技",26技,683
"吝备","巢磊","25 ~ 29技",27技,690
"吝备","巢磊","25 ~ 29技",28技,666
"吝备","巢磊","25 ~ 29技",29技,700
"吝备","巢磊","30 ~ 34技",家拌,2909
"吝备","巢磊","30 ~ 34技",30技,619
"吝备","巢磊","30 ~ 34技",31技,652
"吝备","巢磊","30 ~ 34技",32技,571
"吝备","巢磊","30 ~ 34技",33技,545
"吝备","巢磊","30 ~ 34技",34技,522
"吝备","巢磊","35 ~ 39技",家拌,2841
"吝备","巢磊","35 ~ 39技",35技,542
"吝备","巢磊","35 ~ 39技",36技,556
"吝备","巢磊","35 ~ 39技",37技,563
"吝备","巢磊","35 ~ 39技",38技,560
"吝备","巢磊","35 ~ 39技",39技,620
"吝备","巢磊","40 ~ 44技",家拌,2697
"吝备","巢磊","40 ~ 44技",40技,649
"吝备","巢磊","40 ~ 44技",41技,612
"吝备","巢磊","40 ~ 44技",42技,484
"吝备","巢磊","40 ~ 44技",43技,452
"吝备","巢磊","40 ~ 44技",44技,500
"吝备","巢磊","45 ~ 49技",家拌,2728
"吝备","巢磊","45 ~ 49技",45技,497
